Apellido,Nombre,Documento,Propuesta,Plan,Estado Inscr.,Calidad,Regular,Locación
Gonzalez,Celia,701584,W,2012,Aceptado,Pasivo,N,Bernal
Gomez,Maria Dolores,2152564,W,2019,Aceptado,Activo,S,Bernal
Cordon,Ricardo,2374769,W,2015,Aceptado,Activo,S,Bernal
Ortiz,Daniela,3210485,W,2019,Aceptado,Activo,S,Bernal
Sainz,Nieves,4048665,W,2019,Pendiente,Activo,S,Bernal
Muñoz,Soledad,4314232,W,2019,Aceptado,Activo,S,Bernal
Blanco,Juana,4866599,W,2015,Aceptado,Activo,S,Bernal
Moreno,Adolfo,5644796,W,2015,Aceptado,Pasivo,S,Bernal
Alonso,Alex,6408920,W,2019,Aceptado,Activo,S,Bernal
Garrido,Santiago,6722979,W,2019,Aceptado,Activo,S,Bernal
Martinez,Ana Maria,7045825,W,2019,Aceptado,Activo,S,Bernal
Ezquerro,Cristina,7249577,W,2015,Aceptado,Activo,N,Bernal
Ramirez,Adriana,7449277,W,2019,Aceptado,Activo,S,Bernal
Cordon,Antonia,7565825,W,2015,Aceptado,Pasivo,N,Bernal
Ezquerro,Adrian,7602414,W,2019,Aceptado,Activo,S,Bernal
Gabarri,Juana,7756455,W,2019,Aceptado,Activo,S,Bernal
Fernandez,Juan Antonio,7909080,W,2019,Aceptado,Activo,S,Bernal
Ochoa,Dario,8268881,W,2019,Aceptado,Activo,S,Bernal
Cordon,Cristobal,8466364,W,2012,Aceptado,Activo,N,Bernal
Medrano,Joan,8548960,W,2019,Aceptado,Activo,S,Bernal
Gonzalez,Nerea,8595316,W,2019,Aceptado,Activo,S,Bernal
Gomez,Maria Soledad,9007960,W,2019,Aceptado,Activo,S,Bernal
Garrido,Ainhoa,9034015,W,2019,Aceptado,Pasivo,S,Bernal
Calvo,Patricia,9041806,W,2015,Aceptado,Activo,N,Bernal
Ruiz,Alicia,9053034,W,2019,Pendiente,Activo,S,Bernal
Sainz,Rodrigo,9082002,W,2019,Aceptado,Activo,S,Bernal
Lopez,Beatriz,9164090,W,2019,Aceptado,Activo,S,Bernal
Castillo,Mercedes,9167494,W,2019,Aceptado,Activo,S,Bernal
Martinez,Julia,9178305,W,2019,Aceptado,Activo,S,Bernal
Saez,Jose Angel,9190814,W,2019,Pendiente,Activo,S,Bernal
Sanz,Jose,9211294,W,2019,Aceptado,Activo,S,Bernal
Romero,Lucas,10145690,W,2019,Aceptado,Activo,S,Bernal
Blanco,Maria Angeles,10671180,W,2015,Aceptado,Pasivo,N,Bernal
Saez,Marta,10983685,W,2015,Aceptado,Activo,S,Bernal
Sainz,Alvaro,11122040,W,2019,Pendiente,Activo,S,Bernal
Alvarez,Martin,11324629,W,2015,Aceptado,Activo,S,Bernal
Saenz,Lorena,11577789,W,2019,Aceptado,Activo,S,Bernal
Blanco,Luis Miguel,11639104,W,2015,Aceptado,Activo,N,Bernal
Romero,Tomas,11793961,W,2019,Aceptado,Activo,S,Bernal
Ruiz,Belen,12470096,W,2019,Aceptado,Activo,S,Bernal
Santamaria,Ramon,12854884,W,2012,Aceptado,Activo,N,Bernal
Santamaria,Monica,12887434,W,2019,Aceptado,Activo,S,Bernal
Rubio,Carolina,13656190,W,2019,Aceptado,Activo,S,Bernal
Herce,Iker,13699318,W,2019,Aceptado,Activo,S,Bernal
Martin,Felix,13878148,W,2019,Aceptado,Activo,S,Bernal
Sanz,Marc,14023604,W,2019,Aceptado,Activo,S,Bernal
Alvarez,Roberto,14115739,W,2012,Aceptado,Activo,S,Bernal
Castillo,Inmaculada,14312051,W,2019,Aceptado,Activo,S,Bernal
Diaz,Carla,14325270,W,2015,Aceptado,Activo,N,Bernal
Benito,Blanca,14433922,W,2012,Aceptado,Activo,N,Bernal
Castillo,Jose Antonio,14453161,W,2015,Aceptado,Activo,N,Bernal
Saez,Lucas,14537016,W,2015,Aceptado,Activo,N,Bernal
Merino,Rosa Maria,14859433,W,2019,Aceptado,Activo,S,Bernal
Gomez,Carolina,15207226,W,2019,Aceptado,Activo,S,Bernal
Perez,Montserrat,15266729,W,2015,Aceptado,Activo,N,Bernal
Merino,Marina,15403660,W,2019,Aceptado,Activo,S,Bernal
Ezquerro,Joan,15431386,W,2019,Aceptado,Activo,S,Bernal
Torres,Ainhoa,15462668,W,2019,Aceptado,Activo,S,Bernal
Ibañez,Rocio,15511815,W,2019,Aceptado,Activo,S,Bernal
Blanco,Irene,15517168,W,2019,Aceptado,Activo,S,Bernal
Gil,Tomas,15532121,W,2019,Aceptado,Activo,S,Bernal
Sainz,Elena,15573279,W,2019,Aceptado,Activo,S,Bernal
Santamaria,Diego,15597793,W,2019,Pendiente,Activo,S,Bernal
Dominguez,Maria,15655133,W,2015,Aceptado,Activo,S,Bernal
Castillo,Marta,15859403,W,2019,Aceptado,Activo,S,Bernal
Lopez,Cristina,15935708,W,2019,Aceptado,Activo,S,Bernal
Gomez,Andres,16097718,W,2019,Aceptado,Activo,S,Bernal
Medrano,Susana,16221235,W,2015,Aceptado,Activo,N,Bernal
Martin,Daniel,16260093,W,2012,Aceptado,Activo,N,Bernal
Pascual,Nicolas,16352138,W,2012,Aceptado,Activo,S,Bernal
Ibañez,Vicente,16372819,W,2019,Aceptado,Activo,S,Bernal
Diaz,Hugo,16418055,W,2015,Aceptado,Activo,N,Bernal
Dominguez,Marcos,16491694,W,2019,Aceptado,Activo,S,Bernal
Sainz,Andres,16511000,W,2019,Aceptado,Activo,S,Bernal
Diaz,Eduardo,16662463,W,2019,Aceptado,Activo,S,Bernal
Diez,Miguel,16694262,W,2015,Aceptado,Activo,N,Bernal
Lopez,Francisco Jose,16699056,W,2019,Aceptado,Activo,S,Bernal
Ortiz,Patricia,16719784,W,2012,Aceptado,Pasivo,S,Bernal
Miguel,Pau,16771951,W,2019,Aceptado,Activo,S,Bernal
Rodriguez,Inmaculada,16820577,W,2019,Aceptado,Activo,S,Bernal
Palacios,Javier,16878874,W,2019,Aceptado,Activo,S,Bernal
Romero,Pilar,16880010,W,2019,Aceptado,Activo,S,Bernal
Merino,Pedro,16964231,W,2012,Aceptado,Activo,S,Bernal
Alonso,Dolores,16969721,W,2019,Aceptado,Activo,S,Bernal
Alonso,Vanesa,16970448,W,2019,Aceptado,Activo,S,Bernal
Santamaria,Josefa,17003760,W,2019,Aceptado,Activo,S,Bernal
Gonzalez,Daniela,17031161,W,2019,Aceptado,Activo,S,Bernal
Gonzalez,Pablo,17154567,W,2015,Aceptado,Activo,N,Bernal
Hernandez,Joan,17235317,W,2015,Aceptado,Activo,S,Bernal
Alonso,Maria Josefa,17290602,W,2019,Pendiente,Activo,S,Bernal
Garcia,Julian,17290749,W,2012,Aceptado,Activo,S,Bernal
Gomez,Isabel,17372154,W,2019,Aceptado,Activo,S,Bernal
Miguel,Raquel,17430232,W,2019,Aceptado,Activo,S,Bernal
Ruiz,Alberto,17460142,W,2019,Aceptado,Activo,S,Bernal
Dominguez,Eva,17499941,W,2015,Aceptado,Activo,N,Bernal
Ramirez,Aaron,17773053,W,2019,Aceptado,Activo,S,Bernal
Leon,Juan Francisco,17809896,W,2019,Aceptado,Activo,S,Bernal
Saez,Jose Francisco,17813446,W,2012,Aceptado,Activo,N,Bernal
Ortega,Inmaculada,17857419,W,2019,Aceptado,Activo,S,Bernal
Hernandez,Alejandro,17946267,W,2015,Aceptado,Activo,N,Bernal
Ramirez,Antonia,18149066,W,2019,Aceptado,Activo,S,Bernal
Diez,Gloria,18202573,W,2019,Aceptado,Activo,S,Bernal
Gonzalez,Maria Mar,18316160,W,2012,Aceptado,Activo,N,Bernal
Ibañez,Oscar,18323661,W,2019,Pendiente,Activo,S,Bernal
Dominguez,Maria Rosario,18359504,W,2019,Aceptado,Activo,S,Bernal
Gutierrez,Maria Elena,18409249,W,2015,Aceptado,Activo,S,Bernal
Ochoa,Mateo,18411481,W,2019,Aceptado,Activo,S,Bernal
Torres,Alba,18411887,W,2019,Aceptado,Activo,S,Bernal
Peña,Maria Josefa,18468298,W,2019,Aceptado,Activo,S,Bernal
Alvarez,Enrique,18511200,W,2015,Aceptado,Activo,N,Bernal
Ezquerro,Lorenzo,18523654,W,2019,Aceptado,Activo,S,Bernal
Santamaria,Cesar,18526226,W,2019,Aceptado,Activo,S,Bernal
Diez,Borja,18562773,W,2012,Aceptado,Activo,N,Bernal
